path,id_comicbook,id_comicbook_info,calidad,en_papelera
/mnt/Green/Comics/Other Enemies-megaman.cbz,2,,0,0
/mnt/Green/Comics/Other Enemies.cbz,3,,0,0
/mnt/Green/Comics/Batman - The Killing Joke (Deluxe HC Edition) (2008) (Minutemen-Y2K).cbr,4,,0,0
/mnt/Green/Comics/Capcom Summer Special 2004 V2004 #1 (2004).cbz,5,,0,0
/mnt/Green/Comics/El libro de los Sith.cbz,6,,0,0
/mnt/Green/Comics/GI Combat 01.cbr,7,,0,0
/mnt/Green/Comics/GI Combat 02.cbr,8,,0,0
/mnt/Green/Comics/GI Combat 03.cbr,9,,0,0
/mnt/Green/Comics/GI Combat 04.cbr,10,,0,0
/mnt/Green/Comics/GI Combat 05.5 Zero.cbr,11,,0,0
/mnt/Green/Comics/GI Combat 05.cbr,12,,0,0
/mnt/Green/Comics/Marvel Monsters_ From the Files of Ulysses Bloodstone (and the Monster Hunters) V2005 #1 (2005).cbz,13,,0,0
/mnt/Green/Comics/Teenage Mutant Ninja Turtles V1 #001 PBBZ.cbr,16,121041,0,0
/mnt/Green/Comics/Supergirl (2016) Issue #1.cbz,18,548566,0,0
/mnt/Green/Comics/Teenage Mutant Ninja Turtles V1 #001 4th Print Extras Only.cbr,19,,0,0
/mnt/Green/Comics/Teenage Mutant Ninja Turtles V1 #001 5th Print.cbz,20,121041,0,0
/mnt/Green/Comics/The_Transformers_More_than_Meets_the_Eye_4_%282012%29_%283_covers%29_by_Nook.cbr,21,,0,0
/mnt/Green/Comics/Inhumans Vs. X-Men Issue #0.cbz,22,562597,0,0
/mnt/Green/Comics/Inhumans Vs. X-Men Issue #1.cbz,23,566713,0,0
/mnt/Green/Comics/Inhumans Vs. X-Men Issue #2.cbz,24,575870,0,0
/mnt/Green/Comics/Invincible Issue #0.cbz,25,125132,0,1
/mnt/Green/Comics/Invincible Issue #1.cbz,26,105347,0,1
/mnt/Green/Comics/Invincible Issue #2.cbz,27,105532,0,1
/mnt/Green/Comics/Invincible Issue #3.cbz,28,105533,0,1
/mnt/Green/Comics/Invincible Issue #4.cbz,29,105534,0,1
/mnt/Green/Comics/Invincible Issue #5.cbz,30,105535,0,1
/mnt/Green/Comics/Invincible Issue #6.cbz,31,105536,0,1
/mnt/Green/Comics/Invincible Issue #7.cbz,32,105537,0,1
/mnt/Green/Comics/Ultimate Spider-Man (2000) Issue #1.cbz,33,51619,0,0
/mnt/Green/Comics/Ultimate Spider-Man (2000) Issue #10.cbz,34,69353,0,0
/mnt/Green/Comics/Ultimate Spider-Man (2000) Issue #2.cbz,35,51620,0,0
/mnt/Green/Comics/Ultimate Spider-Man (2000) Issue #3.cbz,36,51621,0,0
/mnt/Green/Comics/Ultimate Spider-Man (2000) Issue #4.cbz,37,51622,0,0
/mnt/Green/Comics/Ultimate Spider-Man (2000) Issue #5.cbz,38,51623,0,0
/mnt/Green/Comics/Ultimate Spider-Man (2000) Issue #6.cbz,39,51624,0,0
/mnt/Green/Comics/Ultimate Spider-Man (2000) Issue #7.cbz,40,51625,0,0
/mnt/Green/Comics/Ultimate Spider-Man (2000) Issue #8.cbz,41,69351,0,0
/mnt/Green/Comics/Ultimate Spider-Man (2000) Issue #9.cbz,42,69352,0,0
/mnt/Green/Comics/CÓMO DIBUJAR COMICS AL ESTILO MARVEL por STAN LEE & JOHN BUSCEMA.cbr,43,,0,0
/mnt/Green/Comics/Rival Schools vol2 por Basara-kun.cbr,44,,0,0
/mnt/Green/Comics/GI Combat 06.cbr,49,,0,0
/mnt/Green/Comics/Action Comics 420.cbr,50,114465,0,0
/mnt/Green/Comics/Novus - Week of 2016-08-24/Action Comics 962 (2016) (two covers) (digital) (Glorith-Novus-HD).cbz,51,546024,0,0
/mnt/Green/Comics/Novus - Week of 2016-08-24/Black Lightning 07 (1978) (digital) (Glorith-Novus-HD).cbz,54,,0,0
/mnt/Green/Comics/Novus - Week of 2016-08-24/Black Lightning 08 (1978) (digital) (Glorith-Novus-HD).cbz,55,,0,0
/mnt/Green/Comics/Novus - Week of 2016-08-24/Blue Beetle 02 (1986) (digital) (Glorith-Novus-HD).cbz,56,,0,0
/mnt/Green/Comics/Novus - Week of 2016-08-24/Blue Beetle 03 (1986) (digital) (Glorith-Novus-HD).cbz,57,,0,0
/mnt/Green/Comics/Novus - Week of 2016-08-24/Captain Atom - Armageddon 02 (2005) (digital) (Glorith-Novus-HD).cbz,58,,0,0
/mnt/Green/Comics/Novus - Week of 2016-08-24/Captain Atom - Armageddon 03 (2005) (digital) (Glorith-Novus-HD).cbz,59,,0,0
/mnt/Green/Comics/Novus - Week of 2016-08-24/Checkmate 24 (1989) (digital) (Glorith-Novus-HD).cbz,60,,0,0
/mnt/Green/Comics/Novus - Week of 2016-08-24/Checkmate 25 (1989) (digital) (Glorith-Novus-HD).cbz,61,,0,0
/mnt/Green/Comics/Novus - Week of 2016-08-24/Checkmate 26 (1990) (digital) (Glorith-Novus-HD).cbz,62,,0,0
/mnt/Green/Comics/Novus - Week of 2016-08-24/Checkmate 27 (1990) (digital) (Glorith-Novus-HD).cbz,63,,0,0
/mnt/Green/Comics/Novus - Week of 2016-08-24/Classic X-Men 01 (1986) (digital) (Glorith-Novus-HD).cbz,64,,0,0
/mnt/Green/Comics/Novus - Week of 2016-08-24/Elongated Man 03 (1992) (digital) (Glorith-Novus-HD).cbz,65,,0,0
/mnt/Green/Comics/Novus - Week of 2016-08-24/Elongated Man 04 (1992) (digital) (Glorith-Novus-HD).cbz,66,,0,0
"/mnt/Green/Comics/Novus - Week of 2016-08-24/Firestorm, The Nuclear Man 72 (1988) (digital) (Glorith-Novus-HD).cbz",67,29656,0,0
"/mnt/Green/Comics/Novus - Week of 2016-08-24/Firestorm, The Nuclear Man 73 (1988) (digital) (Glorith-Novus-HD).cbz",68,29773,0,0
"/mnt/Green/Comics/Novus - Week of 2016-08-24/Firestorm, The Nuclear Man 74 (1988) (digital) (Glorith-Novus-HD).cbz",69,29895,0,0
"/mnt/Green/Comics/Novus - Week of 2016-08-24/Firestorm, The Nuclear Man 76 (1988) (digital) (Glorith-Novus-HD).cbz",70,30129,0,0
"/mnt/Green/Comics/Novus - Week of 2016-08-24/Firestorm, The Nuclear Man 77 (1988) (digital) (Glorith-Novus-HD).cbz",71,30259,0,0
/mnt/Green/Comics/Novus - Week of 2016-08-24/Girl Confessions 029 (Atlas.1953) (c2c) (Pmack-Novus).cbz,72,,0,0
/mnt/Green/Comics/Novus - Week of 2016-08-24/Guy Gardner - Reborn 01 (1991) (digital) (Glorith-Novus-HD).cbz,73,,0,0
/mnt/Green/Comics/Novus - Week of 2016-08-24/Hedy of Hollywood Comics 040 (Atlas.1951) (c2c) (Pmack-Novus).cbz,74,,0,0
"/mnt/Green/Comics/Novus - Week of 2016-08-24/Firestorm, The Nuclear Man 75 (1988) (digital) (Glorith-Novus-HD).cbz",75,30007,0,0
/mnt/Green/Comics/Novus - Week of 2016-08-24/Ion 03 (2006) (digital) (Glorith-Novus-HD).cbz,76,,0,0
/mnt/Green/Comics/Novus - Week of 2016-08-24/L.E.G.I.O.N. 58 (1993) (digital) (Glorith-Novus-HD).cbz,78,,0,0
/mnt/Green/Comics/Novus - Week of 2016-08-24/Love Journal 020 (1953 Our) (c2c) (JVJ-tilliban-Novus).cbz,79,,0,0
/mnt/Green/Comics/Novus - Week of 2016-08-24/Mighty Morphin' Power Rangers Annual 01 (2016) (digital) (Glorith-Novus-HD).cbz,80,546089,0,0
/mnt/Green/Comics/Novus - Week of 2016-08-24/Ion 04 (2006) (digital) (Glorith-Novus-HD).cbz,81,,0,0
/mnt/Green/Comics/Novus - Week of 2016-08-24/Journey Into Mystery 017 (Atlas.1954) (c2c) (Gambit-Novus).cbr,82,,0,0
/mnt/Green/Comics/Novus - Week of 2016-08-24/Journey Into Mystery 020 (Atlas.1954) (c2c) (Gambit-Novus).cbr,83,,0,0
/mnt/Green/Comics/Novus - Week of 2016-08-24/Justice League America 88 (1994) (digital) (Glorith-Novus-HD).cbz,88,39036,0,0
/mnt/Green/Comics/Novus - Week of 2016-08-24/Justice League America 91 (1994) (digital) (Glorith-Novus-HD).cbz,89,39465,0,0
/mnt/Green/Comics/Novus - Week of 2016-08-24/L.E.G.I.O.N. 55 (1993) (digital) (Glorith-Novus-HD).cbz,90,,0,0
/mnt/Green/Comics/Novus - Week of 2016-08-24/L.E.G.I.O.N. 56 (1993) (digital) (Glorith-Novus-HD).cbz,91,,0,0
/mnt/Green/Comics/Novus - Week of 2016-08-24/L.E.G.I.O.N. 57 (1993) (digital) (Glorith-Novus-HD).cbz,92,,0,0
/mnt/Green/Comics/Novus - Week of 2016-08-24/L.E.G.I.O.N. 59 (1993) (digital) (Glorith-Novus-HD).cbz,93,,0,0
/mnt/Green/Comics/Novus - Week of 2016-08-24/L.E.G.I.O.N. 60 (1993) (digital) (Glorith-Novus-HD).cbz,94,,0,0
/mnt/Green/Comics/Novus - Week of 2016-08-24/L.E.G.I.O.N. Annual 04 (1993) (digital) (Glorith-Novus-HD).cbz,95,,0,0
/mnt/Green/Comics/Novus - Week of 2016-08-24/Left 04 (2016) (Blurred Lines Comics) (compiled by Marx-Novus).cbz,96,,0,0
/mnt/Green/Comics/Novus - Week of 2016-08-24/Love Adventures 009 (Atlas.1952) (c2c) (Pmack-Novus).cbz,97,,0,0
/mnt/Green/Comics/Novus - Week of 2016-08-24/Manhunter 01 (1988) (digital) (Glorith-Novus-HD).cbz,98,,0,0
/mnt/Green/Comics/Novus - Week of 2016-08-24/Manhunter 02 (1988) (digital) (Glorith-Novus-HD).cbz,99,,0,0
/mnt/Green/Comics/Novus - Week of 2016-08-24/Manhunter 03 (2004) (digital) (Glorith-Novus-HD).cbz,100,,0,0
/mnt/Green/Comics/Novus - Week of 2016-08-24/Margie Comics 042 (1948) (Gambit-Woodman-NOVUS).cbr,101,,0,0
/mnt/Green/Comics/Novus - Week of 2016-08-24/Menomonee Falls Gazette 192 (1975-08-18)(c2c)(PeteThePIPster-Novus).cbz,102,,0,0
/mnt/Green/Comics/Novus - Week of 2016-08-24/Mitzis Boy Friend 003 (Timely.1948) (c2c) (Gambit-Pmack-Novus).cbz,103,,0,0
/mnt/Green/Comics/Novus - Week of 2016-08-24/Mitzis Boy Friend 005 (Timely.1948) (c2c) (Pmack-Novus).cbz,104,,0,0
/mnt/Green/Comics/Novus - Week of 2016-08-24/Mitzis Boy Friend 006 (Timely.1949) (c2c) (Gambit-Pmack-Novus).cbz,105,,0,0
/mnt/Green/Comics/Novus - Week of 2016-08-24/Orion 03 (2000) (digital) (Glorith-Novus-HD).cbz,109,,0,0
/mnt/Green/Comics/Novus - Week of 2016-08-24/Orion 04 (2000) (digital) (Glorith-Novus-HD).cbz,110,,0,0
/mnt/Green/Comics/Novus - Week of 2016-08-24/Red Tornado 01 (1985) (digital) (Glorith-Novus-HD).cbz,111,,0,0
/mnt/Green/Comics/Novus - Week of 2016-08-24/Red Tornado 02 (1985) (digital) (Glorith-Novus-HD).cbz,112,,0,0
"/mnt/Green/Comics/Novus - Week of 2016-08-24/Supergirl, Volume 2 - Breaking the Chain TPB (2016) (digital) (Glorith-Novus-HD).cbz",113,,0,0
/mnt/Green/Comics/Novus - Week of 2016-08-24/Terror Titans 01 (2008) (digital) (Glorith-Novus-HD).cbz,114,,0,0
/mnt/Green/Comics/Novus - Week of 2016-08-24/Terror Titans 02 (2008) (digital) (Glorith-Novus-HD).cbz,115,,0,0
/mnt/Green/Comics/Novus - Week of 2016-08-24/The Hawk and the Dove 03 (1968) (digital) (Glorith-Novus-HD).cbz,119,,0,0
/mnt/Green/Comics/Novus - Week of 2016-08-24/The Hawk and the Dove 04 (1969) (digital) (Glorith-Novus-HD).cbz,120,,0,0
/mnt/Green/Comics/Novus - Week of 2016-08-24/Wonder Woman 05 (2016) (two covers) (digital) (Glorith-Novus-HD).cbz,127,546046,0,0
/mnt/Green/Comics/Oliveti Ariel/05 Namor - The First Mutant 01.cbr,191,231613,0,0
/mnt/Green/Comics/Oliveti Ariel/11 Namor - The First Mutant 02.cbr,192,236298,0,0
/mnt/Green/Comics/Oliveti Ariel/13 Namor - The First Mutant 03.cbr,193,240600,0,0
/mnt/Green/Comics/Oliveti Ariel/16 Namor - The First Mutant 04.cbr,194,246427,0,0
/mnt/Green/Comics/Oliveti Ariel/Batman_ Legends of the Dark Knight V1992 #207 (2006).cbz,195,149844,0,0
/mnt/Green/Comics/Oliveti Ariel/Batman_ Legends of the Dark Knight V1992 #208 (2006).cbz,196,149938,0,0
/mnt/Green/Comics/Oliveti Ariel/Batman_ Legends of the Dark Knight V1992 #209 (2006).cbz,197,149990,0,0
/mnt/Green/Comics/Oliveti Ariel/Batman_ Legends of the Dark Knight V1992 #210 (2006).cbz,198,150102,0,0
/mnt/Green/Comics/Oliveti Ariel/Fall_of_the_Hulks-Red_Hulk_02.cbr,199,,0,0
/mnt/Green/Comics/Oliveti Ariel/Hercules Fall Of An Avenger #2 (Castellano).cbr,200,,0,0
/mnt/Green/Comics/Oliveti Ariel/Hercules-Fall of an Avenger #1 (Caste-EX-LL).cbr,201,,0,0
/mnt/Green/Comics/Oliveti Ariel/Incredible_Hulk_604_(2010)_(GreenGiant-DCP).cbr,202,,0,0
/mnt/Green/Comics/Oliveti Ariel/the incredible hulk_606_seldonhp[llsw-ek-cca].cbr,205,,0,0
/mnt/Green/Comics/Oliveti Ariel/The Last Phantom 008 (2012) (3 covers) [Digital] (ZOOM-Empire).cbz,206,285552,0,0
/mnt/Green/Comics/Oliveti Ariel/The Last Phantom 009 (2011) (3 Covers) [Digital] (ZOOM-Empire).cbz,207,293598,0,0
/mnt/Green/Comics/Oliveti Ariel/The Last Phantom 010 (2011) (3 Covers) [Digital] (ZOOM-Empire).cbz,208,303800,0,0
/mnt/Green/Comics/Oliveti Ariel/The Last Phantom 02 (2010) (3 covers) (Minutemen-TwizToons).cbr,209,238325,0,0
/mnt/Green/Comics/Oliveti Ariel/The Last Phantom 03 (2010) (4 covers) (Minutemen-TwizToons).cbr,210,245173,0,0
/mnt/Green/Comics/Oliveti Ariel/The Last Phantom 04 (2011) (Slimer-DCP).cbr,211,262598,0,0
/mnt/Green/Comics/Oliveti Ariel/The Last Phantom 05 (2011) (Slimer-DCP).cbr,212,264883,0,0
/mnt/Green/Comics/Oliveti Ariel/The Last Phantom 06 (2011) (Slimer-DCP).cbr,213,269243,0,0
/mnt/Green/Comics/Oliveti Ariel/The_Last_Phantom_Annual_001_282_Covers_29_282012_29_28Digital_29_28Zone_Empire_29.cbr,214,,0,0
/mnt/Green/Comics/Oliveti Ariel/The Last Phantom 01  2010   4 covers   Minutemen-TwizToons .cbr,215,230800,0,0
/mnt/Green/Comics/0-Day (2018.08.08) 07/Darth Vader 019 (2018) (Digital) (Kileko-Empire).cbr,219,679408,0,0
/mnt/Green/Comics/0-Day (2018.08.08) 07/Optimus Prime 022 (2018) (digital) (Minutemen-Phantasm).cbz,230,679162,0,0
/mnt/Green/Comics/0-Day (2018.08.08) 07/Supergirl 021 (2018) (Digital) (Thornn-Empire).cbr,232,679398,0,0
/mnt/Green/Comics/0-Day (2018.08.08) 07/Superman 002 (2018) (Digital) (Thornn-Empire).cbr,233,679399,0,0
/mnt/Green/Comics/0-Day (2018.08.08) 07/The Transformers - Lost Light 022 (2018) (digital) (Minutemen-Phantasm).cbz,234,679165,0,0
/mnt/Green/Comics/0-Day (2018.08.08) 07/Transformers - Unicron 003 (2018) (digital) (Minutemen-Phantasm).cbz,235,679166,0,0
/mnt/Green/Comics/0-Day (2018.08.08) 07/Voltron - Legendary Defender v3 002 (2018) (Digital-Empire).cbr,237,679310,0,0
/mnt/Green/Comics/0-Day (2018.08.08) 07/X-Men Blue 033 (2018) (digital) (Minutemen-Bookworm).cbr,239,679423,0,0
/mnt/Green/Comics/0-Day (2018.08.08) 07/Fantastic Four 001 (2018) (digital) (Minutemen-Bookworm).cbr,241,679412,0,0
/mnt/Green/Comics/0-Day Week (07-20-2016)/A-Force 007(2016)(Digital)(TLK-EMPIRE-HD).cbr,246,540064,0,0
/mnt/Green/Comics/0-Day Week (07-20-2016)/All-New Inhumans 009 (2016) (Digital) (Zone-Empire).cbr,247,540067,0,0
/mnt/Green/Comics/0-Day Week (07-20-2016)/All-New Wolverine 010 (2016) (Digital) (BlackManta-Empire).cbr,248,540068,0,0
/mnt/Green/Comics/0-Day Week (07-20-2016)/All-New X-Men 011 (2016) (2 covers) (digital) (Minutemen-Faessla).cbz,249,539233,0,0
/mnt/Green/Comics/0-Day Week (07-20-2016)/Aquaman 003 (2016) (Digital) (BlackManta-Empire).cbr,250,540043,0,0
/mnt/Green/Comics/0-Day Week (07-20-2016)/Astro City 037 (2016) (digital) (Son of Ultron-Empire).cbr,251,540044,0,0
/mnt/Green/Comics/0-Day Week (07-20-2016)/Batgirl and the Birds of Prey - Rebirth 001 (2016) (2 covers) (Digital) (Zone-Empire).cbr,256,540045,0,0
/mnt/Green/Comics/0-Day Week (07-20-2016)/Batman 003 (2016) (2 covers) (digital) (Minutemen-Faessla).cbz,258,540047,0,0
/mnt/Green/Comics/0-Day Week (07-20-2016)/Batman 003 (2016) (2 covers) (Digital) (Zone-Empire).cbr,259,540047,0,0
/mnt/Green/Comics/0-Day Week (07-20-2016)/Batman v3 003 (2016) (Webrip) (The Last Kryptonian-DCP).cbr,260,540047,0,0
/mnt/Green/Comics/0-Day Week (07-20-2016)/Black Widow 005 (2016) (Digital) (BlackManta-Empire).cbr,264,540070,0,0
/mnt/Green/Comics/0-Day Week (07-20-2016)/Daredevil 009 (2016) (2 covers) (digital) (Minutemen-Faessla).cbz,269,539238,0,0
/mnt/Green/Comics/0-Day Week (07-20-2016)/Green Lanterns 003 (2016) (Webrip) (The Last Kryptonian-DCP).cbr,271,540051,0,0
/mnt/Green/Comics/0-Day Week (07-20-2016)/Marvel Team-Up Annual 04 (1981) (digital) (Minutemen-Faessla).cbz,274,,0,0
/mnt/Green/Comics/0-Day Week (07-20-2016)/Spider-Man 006 (2016) (2 covers) (Digital) (Zone-Empire).cbr,277,,0,0
/mnt/Green/Comics/0-Day Week (07-20-2016)/Star Wars 021 (2016) (Digital) (BlackManta-Empire).cbr,278,540085,0,0
/mnt/Green/Comics/0-Day Week (07-20-2016)/Civil War II - Choosing Sides 02 (of 06) (2016) (2 covers) (digital) (Minutemen-Faessla).cbz,284,539236,0,0
/mnt/Green/Comics/0-Day Week (07-20-2016)/Darth Vader 023 (2016) (2 covers) (digital) (Minutemen-Midas).cbr,288,540073,0,0
/mnt/Green/Comics/0-Day Week (07-20-2016)/Darth Vader 023 (2016) (Digital) (BlackManta-Empire).cbr,289,540073,0,0
/mnt/Green/Comics/0-Day Week (07-20-2016)/Green Arrow 003 (2016) (2 covers) (Digital) (Zone-Empire).cbr,296,540050,0,0
/mnt/Green/Comics/0-Day Week (07-20-2016)/Green Lanterns 003 (2016) (Digital) (Thornn-Empire).cbr,297,540051,0,0
/mnt/Green/Comics/0-Day Week (07-20-2016)/Guardians of Infinity 008 (2016) (digital) (Minutemen-Slayer).cbr,299,,0,0
/mnt/Green/Comics/0-Day Week (07-20-2016)/Guardians of Infinity 008 (2016) (Digital) (Zone-Empire).cbr,300,,0,0
/mnt/Green/Comics/0-Day Week (07-20-2016)/Justice League 001 (2016) (Digital) (Thornn-Empire).cbr,312,540053,0,0
/mnt/Green/Comics/0-Day Week (07-20-2016)/Justice League 01 (2016) (Webrip) (The Last Kryptonian-DCP).cbr,313,540053,0,0
/mnt/Green/Comics/0-Day Week (07-20-2016)/Legends of Tomorrow 005 (2016) (Digital) (Zone-Empire).cbr,315,,0,0
/mnt/Green/Comics/0-Day Week (07-20-2016)/Mighty Morphin Power Rangers 005 (2016) (Digital) (Kileko-Empire).cbr,322,540126,0,0
"/mnt/Green/Comics/0-Day Week (07-20-2016)/Mighty Morphin Power Rangers, 2016-07-20 (#05) (digital) (Glorith-Novus-HD).cbz",323,540126,0,0
/mnt/Green/Comics/0-Day Week (07-20-2016)/New Suicide Squad 022 (2016) (digital) (Minutemen-Midas).cbr,325,540056,0,0
/mnt/Green/Comics/0-Day Week (07-20-2016)/New Suicide Squad 022 (2016) (Digital) (Thornn-Empire).cbr,326,540056,0,0
